127.0.0.1 - - [07/Feb/2018:12:54:19 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Feb/2018:12:54:21 +0800] "GET /CookieDemo1/ HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [07/Feb/2018:12:54:27 +0800] "POST /CookieDemo1/dologin.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [07/Feb/2018:12:54:28 +0800] "GET /CookieDemo1/users.jsp HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [07/Feb/2018:12:54:33 +0800] "POST /CookieDemo1/dologin.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [07/Feb/2018:12:54:35 +0800] "GET /CookieDemo1/users.jsp HTTP/1.1" 200 732
0:0:0:0:0:0:0:1 - - [07/Feb/2018:12:54:39 +0800] "POST /CookieDemo1/dologin.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [07/Feb/2018:12:54:41 +0800] "GET /CookieDemo1/users.jsp HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [07/Feb/2018:12:54:47 +0800] "POST /CookieDemo1/dologin.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [07/Feb/2018:12:56:46 +0800] "GET /CookieDemo1/ HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [07/Feb/2018:12:56:54 +0800] "POST /CookieDemo1/dologin.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [07/Feb/2018:12:56:55 +0800] "GET /CookieDemo1/users.jsp HTTP/1.1" 200 732
0:0:0:0:0:0:0:1 - - [07/Feb/2018:13:37:05 +0800] "GET /CookieDemo1/users.jsp HTTP/1.1" 200 732
0:0:0:0:0:0:0:1 - - [07/Feb/2018:13:37:07 +0800] "GET /CookieDemo1/users.jsp HTTP/1.1" 200 732
0:0:0:0:0:0:0:1 - - [07/Feb/2018:13:37:38 +0800] "GET /CookieDemo1/users.jsp HTTP/1.1" 200 732
0:0:0:0:0:0:0:1 - - [07/Feb/2018:13:38:00 +0800] "GET /demo1/ HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [07/Feb/2018:13:38:01 +0800] "GET /demo1/pageContext.jsp HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [07/Feb/2018:13:38:02 +0800] "GET /demo1/pageContext.jsp HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [07/Feb/2018:13:38:03 +0800] "GET /demo1/pageContext.jsp HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [07/Feb/2018:13:38:03 +0800] "GET /demo1/pageContext.jsp HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [07/Feb/2018:13:38:04 +0800] "GET /demo1/pageContext.jsp HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [07/Feb/2018:13:38:24 +0800] "GET /demo1/page.jsp HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [07/Feb/2018:13:38:36 +0800] "GET /demo1/pageContext.jsp HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [07/Feb/2018:13:38:40 +0800] "GET /demo1/session_page1.jsp HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [07/Feb/2018:13:38:42 +0800] "GET /demo1/session_page2.jsp HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [07/Feb/2018:13:42:10 +0800] "GET /demo1/session_page2.jsp HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [07/Feb/2018:13:42:17 +0800] "GET /demo1/session_page3.jsp HTTP/1.1" 200 530
